,specialty,university,mark_mean_years,placesCount_years,budgetCount_years,contractCount_years,budget_mark_mean_years,abit_count_years,mark_max_years,mark_min_years,budget_mark_max_years,budget_mark_min_years
51972,Соціальнаробота,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,155.98417241379315,21.877394636015325,10.624521072796934,11.25287356321839,177.0170558900444,138.59386973180077,191.79540229885058,116.5919540229885,186.4729885057471,152.03352490421457
52070,Системнийаналіз,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,170.97775116640742,200.0,120.0,55.19284603421462,188.7202676618163,858.3670295489891,200.0,114.02391135303266,200.0,177.5920139968896
52960,Публічнеуправліннятаадміністрування,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,159.91942747358314,81.74831892411143,10.957732949087417,43.03266090297791,184.5673191361952,348.6272814601345,197.73655139289144,120.54048991354466,192.8893371757925,158.37675312199806
53340,Прикладнафізикатананоматеріали,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,169.8960823529411,60.0,51.79831932773109,7.243697478991597,176.59462205666517,199.42352941176472,200.0,116.56638655462184,200.0,156.25587731092438
53559,Прикладнамеханіка,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,154.3585301662708,237.49501187648457,141.87553444180523,58.138242280285034,158.21657540145026,387.26793349168645,194.56530166270784,112.23729121140143,191.29961805225653,128.82025320665082
54210,Прикладнаматематика,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,177.9079505247377,99.53373313343329,75.80659670164917,15.931034482758621,184.0389726270431,602.728335832084,200.0,126.69755622188907,197.90071964017991,176.59850074962517
55433,Право,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,161.4683301357043,135.27725783809078,24.708235844642022,70.463734206832,186.66957565063808,1430.3111839026674,200.0,119.16268132896583,193.24345460926534,155.66421385119327
56759,Мікро,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,159.61447599164924,150.0,100.0,33.86638830897704,160.3228924602428,319.6972860125261,197.89893319415447,117.8059279749478,197.18406993736951,135.66975782881002
57064,Метрологіятаінформаційно,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,152.03897557471262,141.98275862068965,39.94252873563219,75.55316091954023,151.4470073716417,165.30747126436782,191.0116522988506,118.11169396551725,177.73296120689653,129.93942097701148
57257,Металургія,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,141.79480232558137,82.55813953488372,32.02325581395349,20.88372093023256,139.82687833537332,58.51162790697674,184.805,110.26325581395348,164.3939534883721,119.01939534883721
